date,open,close,high,low,volume
2025-01-02,17.01,16.83,17.47,16.65,47477.0
2025-01-03,16.84,15.8,16.94,15.79,49777.0
2025-01-06,15.71,15.72,15.95,15.11,36497.9
2025-01-07,15.86,16.29,16.31,15.7,36865.96
2025-01-08,16.34,15.94,16.34,15.46,44061.0
2025-01-09,15.8,16.43,16.61,15.8,44675.0
2025-01-10,16.4,16.18,16.86,16.14,42641.65
2025-01-13,15.99,16.36,16.79,15.68,50282.31
2025-01-14,16.46,16.8,16.83,16.39,51009.65
2025-01-15,16.81,16.54,16.84,16.41,32103.49
2025-01-16,16.58,16.59,16.81,16.39,29602.0
2025-01-17,16.46,16.81,17.09,16.36,39429.24
2025-01-20,18.19,17.87,18.19,17.47,103020.0
2025-01-21,18.04,17.99,18.4,17.74,56776.68
2025-01-22,17.89,17.92,18.36,17.78,40982.0
2025-01-23,18.08,17.72,18.35,17.72,46024.0
2025-01-24,17.7,17.75,17.89,17.56,33451.11
2025-01-27,17.85,17.74,18.14,17.55,42628.1
2025-02-05,17.99,18.08,18.22,17.78,39626.0
2025-02-06,18.07,18.34,18.39,17.92,44493.06
2025-02-07,18.34,18.55,18.79,18.26,53138.8
2025-02-10,18.55,18.97,18.99,18.32,59098.35
2025-02-11,18.97,19.23,19.53,18.71,71164.0
2025-02-12,19.17,19.47,19.7,18.94,56909.0
2025-02-13,19.48,19.11,19.52,19.08,43839.0
2025-02-14,19.04,19.32,19.44,18.99,42687.36
2025-02-17,19.29,19.17,19.45,18.95,42541.0
2025-02-18,19.14,18.77,19.29,18.71,37178.59
2025-02-19,18.67,18.97,19.05,18.67,34934.0
2025-02-20,18.97,19.33,19.43,18.79,41701.4
2025-02-21,19.32,19.39,19.56,19.22,40071.5
2025-02-24,19.38,19.3,19.42,18.97,33894.0
2025-02-25,19.13,19.28,19.49,19.07,32872.0
2025-02-26,19.34,19.51,19.51,19.19,36742.59
2025-02-27,19.57,19.31,19.84,18.97,38597.31
2025-02-28,19.19,21.24,21.24,19.18,137985.26
2025-03-03,21.45,19.75,21.55,19.67,262621.44
2025-03-04,19.65,21.73,21.73,19.52,100313.2
2025-03-05,21.73,21.32,22.83,20.99,258485.55
2025-03-06,21.45,23.45,23.45,21.13,215471.44
2025-03-07,23.22,22.87,24.17,22.46,210475.23
2025-03-10,22.8,22.39,23.21,22.17,123498.95
2025-03-11,21.68,22.11,22.46,21.64,89992.45
2025-03-12,22.21,23.16,23.37,21.92,152647.59
2025-03-13,23.09,21.99,23.15,21.79,105743.46
2025-03-14,22.0,21.99,22.18,21.21,81787.65
2025-03-17,21.52,21.71,22.1,21.32,67655.64
2025-03-18,21.7,22.08,22.98,21.69,90379.64
2025-03-19,21.98,21.68,22.2,21.44,67519.0
2025-03-20,21.63,21.74,22.06,21.34,52285.0
2025-03-21,21.73,20.77,21.81,20.69,62264.92
2025-03-24,20.96,20.41,20.99,19.84,51803.81
2025-03-25,20.46,20.41,20.64,19.99,32254.93
2025-03-26,20.33,20.54,20.91,20.19,32477.1
2025-03-27,20.71,20.47,20.71,20.1,29208.0
2025-03-28,20.5,20.25,20.83,20.23,27157.89
2025-03-31,20.0,20.22,20.29,19.75,33780.0
